SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","6/15/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","2.469541","0.338327"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","6/18/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","0.132245","0.018117"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/7/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","100.401519","13.755022"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/8/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","148.645152","20.364408"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/9/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","148.645152","20.364408"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/10/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","158.471794","21.710650"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/11/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/12/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/13/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627103"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/14/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
